block_size,id,host_id,neighbourhood_cleansed,name,latitude,longitude,room_type,property_type
3,1391991696987431852,10370524,Camden,Chic and Modern Camden Town Apartment,51.53878710000001,-0.1407651,Entire home/apt,Entire rental unit
3,1475925081057419004,10370524,Camden,Chic and Modern Camden Town Apartment,51.53878710000001,-0.1407651,Entire home/apt,Entire rental unit
3,1475925645260305682,10370524,Camden,Chic and Modern Camden Town Apartment,51.53878710000001,-0.1407651,Entire home/apt,Entire rental unit
3,1389164264807291420,49472260,Camden,Edgy & Designer Camden Town Apartment,51.53878710000001,-0.1407651,Entire home/apt,Entire rental unit
3,1428172023859723061,49472260,Camden,Edgy & Designer Camden Town Apartment,51.53878710000001,-0.1407651,Entire home/apt,Entire rental unit
3,1451488415586193715,49472260,Camden,Edgy & Designer Camden Town Apartment,51.53878710000001,-0.1407651,Entire home/apt,Entire rental unit
3,46770779,74167394,Camden,"European Hotel, Kings Cross, Single en suite",51.52963,-0.12282,Private room,Private room in rental unit
3,47094986,74167394,Camden,"European Hotel, Kings Cross, Single en suite",51.5288,-0.12283,Private room,Private room in rental unit
3,47107125,74167394,Camden,"European Hotel, Kings Cross, single en suite",51.53001,-0.12306,Private room,Private room in townhouse
3,47419908,74167394,Camden,"European Hotel, Kings Cross, Single en suite",51.52986,-0.12302,Private room,Private room in rental unit
3,47765094,74167394,Camden,"European Hotel, Kings Cross, Single en suite",51.52859,-0.12283,Private room,Private room in rental unit
3,49665209,74167394,Camden,"European Hotel, Kings cross, Single en suite",51.52898,-0.12309,Private room,Private room in townhouse
3,50004680,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51605,-0.12696,Private room,Private room in rental unit
3,50345759,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51456,-0.12769,Private room,Private room in rental unit
3,50556880,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51542,-0.12765,Private room,Private room in rental unit
3,50556930,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51542,-0.12776,Private room,Private room in rental unit
3,50557016,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51596,-0.12713,Private room,Private room in rental unit
3,50557118,74167394,Camden,"Seven Dials Hotel, Covent Garden, Single en suite",51.51589,-0.12708,Private room,Private room in rental unit
3,1466176017929188963,256376256,Camden,Room in Central London,51.5214,-0.10985,Private room,Private room in home
3,1471302395492537397,256376256,Camden,Room in Central London,51.5213998,-0.1098469,Private room,Private room in home
