id,neighbourhood_cleansed,room_type,property_type_bucket,price_numeric,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,host_segment,host_response_rate
950826670788841030,Centrum-West,private_room,apartment,143.0,130,4.73,4.78,4.82,multi,0.92
951160138081111662,Centrum-West,private_room,apartment,138.0,103,4.74,4.77,4.93,multi,0.92
953285827967297295,Oostelijk Havengebied - Indische Buurt,private_room,apartment,93.0,43,4.42,4.23,4.51,solo,1.0
953539337193788533,Westerpark,entire_home,apartment,531.0,180,4.75,4.91,4.72,multi,0.93
957891889626715891,Watergraafsmeer,entire_home,apartment,174.0,200,4.76,4.79,4.86,multi,0.95
960002576012180410,Centrum-West,private_room,apartment,135.0,80,4.66,4.56,4.91,solo,1.0
974525394495410987,De Baarsjes - Oud-West,private_room,apartment,56.0,50,4.36,4.22,4.4,multi,1.0
1001038303846389335,IJburg - Zeeburgereiland,entire_home,apartment,131.0,87,4.72,4.8,4.87,multi,1.0
1009947098347990641,IJburg - Zeeburgereiland,entire_home,apartment,160.0,52,4.75,4.56,4.92,multi,0.5
1015342164585958205,Bijlmer-Oost,private_room,house,82.0,73,4.47,4.55,4.6,multi,1.0
1018594977888575386,De Baarsjes - Oud-West,private_room,apartment,67.0,50,4.34,4.32,4.4,multi,0.89
1039811851837633284,Centrum-West,entire_home,apartment,217.0,107,4.68,4.79,4.81,multi,0.94
1039828186305222073,Bijlmer-Oost,private_room,house,81.0,63,4.29,4.38,4.56,multi,1.0
1044095219134842542,Centrum-West,private_room,apartment,120.0,58,4.6,4.45,4.67,multi,1.0
1047634949162040987,Centrum-West,private_room,other,3930.0,50,4.78,4.72,4.98,multi,1.0
1051276165819384554,De Baarsjes - Oud-West,private_room,hotel,,720,4.47,4.42,4.58,multi,1.0
1052725228900518539,Bijlmer-Oost,private_room,house,92.0,50,4.78,4.54,4.82,solo,1.0
1070838435634595880,Oostelijk Havengebied - Indische Buurt,private_room,hotel,,45,4.64,4.87,4.6,professional,
1080400371674885906,Bijlmer-Centrum,private_room,hotel,134.0,125,4.45,4.42,4.58,professional,1.0
1080400470981051445,Bijlmer-Centrum,private_room,hotel,,97,4.47,4.44,4.58,professional,1.0
1080404233704746629,De Pijp - Rivierenbuurt,private_room,hotel,,486,4.32,4.4,4.61,professional,1.0
1080404315599095169,De Pijp - Rivierenbuurt,private_room,hotel,,383,4.27,4.39,4.61,professional,1.0
1080404361174435888,De Pijp - Rivierenbuurt,private_room,hotel,,64,4.28,4.44,4.42,professional,1.0
1080404390621064775,De Pijp - Rivierenbuurt,private_room,hotel,,39,4.41,4.64,4.49,professional,1.0
